hfrd_uid,gid,st_x,st_y
SL_1,9,-119.285731447428,37.1658573995742
SL_1,10,-119.285803688135,37.1656475842232
SL_10,3,-119.290895804794,37.1630915845476
SL_10,4,-119.292476172621,37.1619706600405
SL_11,1,-119.292101307858,37.1608226318479
SL_11,2,-119.292932783245,37.1603324238356
SL_2,16,-119.283096616281,37.1641675609425
SL_2,15,-119.284300982443,37.1625163722212
SL_3,12,-119.286660391485,37.1652746618132
SL_3,11,-119.286298365872,37.162868828313
SL_4,7,-119.287206637349,37.1656151856381
SL_4,8,-119.286329747996,37.1666310794527
SL_5,6,-119.287898192357,37.1644938500872
SL_5,5,-119.289214014558,37.1638279248513
SL_6,19,-119.280280781041,37.165402930608
SL_6,20,-119.280705191081,37.1654973660196
SL_7,22,-119.280889305725,37.1626174371129
SL_7,21,-119.279878083894,37.1636440216231
SL_8,17,-119.28150819787,37.1649210852746
SL_8,18,-119.28145512424,37.1645322988426
SL_9,14,-119.284941700341,37.1646120583606
SL_9,13,-119.283051080058,37.1653188018651
